t,lat_acc,jerk,lat_jerk,risk_rate
4.6720,0.811250,28046.490670,25090.734331,45164.133046
4.6740,0.283677,30711.888232,25518.676254,45933.900933
4.6760,0.729489,20719.921213,20657.981683,37185.096518
4.6780,0.030482,29638.044031,18211.907105,32781.463271
4.6800,0.974471,25913.123918,19432.886429,34980.170043
4.6820,0.156108,25818.828207,21667.702701,39002.020969
4.6840,0.864444,27266.837662,18219.001265,32795.066722
4.6860,0.890505,26131.231970,24917.148927,44851.758575
4.6880,0.964390,31248.231108,29649.065205,53369.281759
4.6900,0.226487,27811.735465,23304.529772,41948.380075
4.6920,0.428232,6025.574063,5493.847827,9889.354320
4.6940,0.191805,22154.947381,10863.047509,19553.677322
4.6960,0.456049,18902.997250,14392.413447,25906.800253
4.6980,0.117636,18924.064324,14421.034926,25957.980503
4.7000,0.531618,18915.475395,14413.555127,25944.930846
4.7020,0.206505,18937.100120,14442.457154,25996.629383
4.7040,0.628346,18928.294354,14437.175497,25987.544240
4.7060,0.806775,9326.858484,6807.026184,12253.453906
4.7080,0.093877,22739.249996,12916.376397,23249.571391
4.7100,0.277670,22775.322048,12950.099608,23310.456964
4.7120,0.046255,6653.290548,6652.570896,11974.673868
4.7140,0.591477,19978.965979,7498.071245,13497.119718
4.7160,0.153402,18961.737423,14507.260259,26113.221869
4.7180,0.408629,9381.554690,6870.002889,12366.413829
4.7200,0.355382,20473.896498,10215.027391,18387.404686
4.7220,0.568271,19667.165207,16648.089009,29967.128488
4.7240,0.323798,19692.552836,16683.384249,30030.415446
4.7260,0.715572,19680.101842,16677.165922,30019.614230
4.7280,0.355772,19707.326378,16715.705837,30088.626278
4.7300,0.512771,18419.703849,7571.047292,13628.397896
4.7320,0.791351,12464.811612,11601.214764,20882.977925
4.7340,0.647758,21606.119392,17171.122975,30908.669112
4.7360,0.350921,20095.912897,7743.743019,13939.088356
4.7380,0.582809,6963.470431,6963.324833,12534.567510
4.7400,0.585335,23386.427604,13958.209177,25125.361853
4.7420,0.728434,26722.408294,23594.918138,42471.581082
4.7440,0.493788,26751.942224,23633.912865,42541.536945
4.7460,0.869717,26742.945382,23632.310732,42539.029035
4.7480,0.432075,18311.774969,17288.201764,31119.195250
4.7500,0.737103,22135.345959,12600.626181,22681.864229
4.7520,0.575937,21356.218023,17800.778708,32041.977611
4.7540,0.799798,21380.290654,17832.132019,32098.637433
4.7560,0.359253,22196.630164,12676.071121,22817.287271
4.7580,0.117496,5309.115848,5306.124901,9551.142318
4.7600,0.541569,20129.972703,10103.515500,18186.869468
4.7620,0.309830,21234.246269,18427.083701,33169.060491
4.7640,0.398160,15299.438539,13058.229739,23505.211690
4.7660,0.183621,22513.253008,11611.057165,20900.086518
4.7680,0.463483,19127.684272,14843.832221,26719.361482
4.7700,0.216739,19150.830355,14876.068591,26777.140203
4.7720,0.564772,19143.159833,14875.347027,26776.189422
4.7740,0.775677,9671.335210,7216.213822,12989.960556
4.7760,0.124353,22919.603116,13570.255823,24426.584836
4.7780,0.294926,22955.756524,13604.872879,24489.066107
4.7800,0.051176,7332.335328,7332.324514,13198.235301
4.7820,0.616660,20261.284844,8279.145926,14903.079328
4.7840,0.158690,19182.503713,14963.890631,26935.161826
4.7860,0.570766,19203.791213,14993.531323,26988.927148
4.7880,0.329798,19196.972705,14993.744767,26989.070379
4.7900,0.621552,9773.306206,7329.498683,13193.719182
4.7920,0.323198,20646.516876,10970.443051,19747.120690
4.7940,0.502080,18546.828435,8314.878234,14967.282901
4.7960,0.718306,12626.194113,11732.693165,21119.566003
4.7980,0.610349,21787.074592,17574.920949,31635.468057
4.8000,0.301717,20357.054411,8500.756474,15301.663370
4.8020,0.770000,21826.393780,9075.715488,16337.057877
4.8040,0.420665,24509.293310,21183.230490,38130.235547
4.8060,0.558584,20102.640260,17469.025696,31444.804836
4.8080,0.448891,20091.396900,17466.592856,31440.316031
4.8100,0.644474,13508.937086,10512.768859,18923.628420
4.8120,0.536205,24759.699064,17359.271812,31247.225466
4.8140,0.366958,27755.384155,23358.826720,42046.255054
4.8160,0.472524,20423.282606,20134.534931,36242.635399
4.8180,0.834256,27523.369329,17917.805260,32252.883724
4.8200,0.352235,26294.313955,23113.234430,41604.174208
4.8220,0.679417,26008.934183,23233.164059,41820.374724
4.8240,0.527273,25996.201844,23228.443437,41811.725460
4.8260,0.205100,17038.690001,15664.722005,28196.704709
4.8280,0.564360,20689.085882,9330.173401,16794.876482
4.8300,0.378935,19593.614381,15611.725143,28101.484193
4.8320,0.595493,19616.959952,15644.218273,28160.188383
4.8340,0.386615,20741.803979,9413.459205,16944.613184
